question,answer,category
ブーリアンはどんな時に使用しますか？,ブーリアンは「はい」か「いいえ」の二択を問うフィールドタイプです。例として、下記のような利用規約の同意を求めるフォームに使用することができます。,2
配信数に表示されている数字は何の数字ですか,配信設定一覧の「配信数」に表示されている数字は、スパイラルから配信を試みた数字です。※サンプリング配信した数も配信数に含まれています。DBに登録のある件数から、下記の設定に該当した件数を引いた数が表示されます。・抽出ルール・ドメイン抽出・オプトアウト・配信エラー・StopDB・不正アドレスまた、実際に配信を試みた数なので、エラーになった数も含まれています。「配信数」から「エラー数」を引いた数が有効配信数になります。,4
SSLサーバ内画像設置サービスはどんな場合に使用しますか？,SSLサーバ内画像設置サービスは、下記全てに当てはまる場合にご利用をお薦めするオプションサービスです。１．スパイラルで登録フォームを作成している２．その登録フォーム内に画像等を使用している、または使用したい３．自社でSSL対応サーバを持っていないスパイラルで作成される登録フォームは、基本的に全てSSL対応サーバに設置されます。そのフォーム内に、SSL非対応サーバに設置された画像等を利用したとき、以下のような警告文が表示されます。（Internet Explorer 8の場合）この警告文は、SSLサーバ内画像設置サービスをご利用いただくことで表示されなくなります。,3
インデックスを作成すると何が出来ますか？,フィールドにインデックスを作成することで「データ一括登録/更新」の『更新キー』や、DBオペレーションの『検索結果のソートキー』としてインデックスを作成したフィールドを選択することができるようになります。インデックスを作成すると、例えば以下のような作業を行うことができます。主キーではないフィールドをキーとしてデータを更新するフィールドにインデックスを作成すると、当該フィールドを「データ一括登録/更新」の『更新キー（キーフィールド）』として選択することができます。例えば、「姓」というフィールド（フィールドタイプ：テキストフィールド32bytes）を、更新キー（キーフィールド）として選択し、データを一括更新（アップデート）することができます。　　※フィールドが主キーでなくても「入力必須かつ重複不可」であれば、インデックスを作成することなく該当フィールドを更新キー（キーフィールド）として選択することができます。DBオペレーションの検索結果を並び替えるフィールドにインデックスを作成すると、当該フィールドをDBオペレーションの『検索結果のソートキー』として選択することができます。例えば、「都道府県」のフィールド毎に並び替える（ソートする）ことができます。トランザクションDBのアクション設定で検索キーフィールドとして選択可能にするトランザクションDBのアクション設定において、検索キーフィールド（識別キーおよび認証キー）に任意のフィールドを指定するためには、該当フィールドにインデックスを作成しておく必要があります。インデックスを作成すると、フィールド選択のプルダウンにインデックスを作成したフィールドが表示され、選択することができます。インデックス作成前インデックス作成後※ メールアドレスは自動でインデックスが作成されています。インデックスの作成・削除インデックス作成・削除についての詳細は「データメンテナンス」をご確認ください。,2
共有フィールドを編集したい,共有フィールドは、「通常DB」で編集することができます。※一度発行したフィールドに対してフィールドタイプの変更はできません。 フィールドタイプを変更する場合は、フィールドを新しく追加してください。 1.  DB＞「通常DB」＞「通常DB一覧」から編集したい共有フィールドが含まれた対象DBを選択し、「基本設定」画面の左メニュー「フィールド」をクリックします。2.  編集したい共有フィールドのフィールド名をクリックします。（DBに共有フィールドが含まれている場合、「共」のステータスが「◯」と表示されています。）3.  共有フィールドの詳細、および編集画面が開きます。必要な編集作業を行ってください。※ 注意 ※ 「利用中DB」には、対象の共有フィールドを利用しているDB名が表示されています。ここで編集した内容は、すべての利用中DBに反映されますので予めご注意ください。編集後、「保存」ボタンをクリックすると編集完了です。なお、DBで使用されていない共有フィールドの場合は以下手順にて編集が可能です。1.  DB＞「通常DB」＞「通常DB一覧」から適当なDBを選択し、「基本設定」画面の左メニュー「フィールド」をクリックします。2. 「構成変更」ボタンをクリックします。3. 「共有」タブをクリックすると作成済みの共有フィールドが表示されます。編集したい共有フィールドの歯車マークをクリックし、「設定」を選択します。4.  共有フィールドの詳細、および編集画面が開きます。必要な編集作業を行ってください。編集後、「変更」ボタンをクリックすると編集完了です。,2
スパイラルのPHP対応について、詳しく知りたい,スパイラルのPHP対応について、下記よりマニュアルをダウンロードできます。スパイラルPHP（PDFファイル）,5
スパイラルのPHP対応について、サンプルプログラムが欲しい,スパイラルのPHP対応について、下記のリンク先から参考資料とサンプルプログラムをダウンロードできます。?各種ドキュメントページ,5
マイエリアで設定できるパスワードの強度「弱・中・強・最強」の具体的な強度の条件はそれぞれなんですか？,"パスワードを使用するマイエリアのパスワード強度設定で、許容する文字の種類、ならびに強度の条件は以下のとおりです。■許容する文字の種類１：半角英字（小文字）２：半角英字（大文字）３：半角数字４：記号（""#$%&'()*+,-./:;<=>?@][_`}|{~）※ パスワードのフィールドタイプがメッセージダイジェスト型の場合、上記に加え「半角スペース」も許容▼　パスワード強度（５段階）「--」許容する文字で構成された16byte以内のものであれば許容「弱」許容する文字で構成された8byte以上16byte以内のものであれば許容「中」許容する文字の中で2種類以上（半角英字は大・小文字関係なく1種として扱う）を使用し、会員識別キー（ID除く）の文字列を含まない8byte以上16byte以内のものであれば許容「強」許容する文字の中で3種類以上（半角英字は大・小文字関係なく1種として扱う）を使用し、会員識別キー（ID除く）の文字列を含まない8byte以上16byte以内のものであれば許容「最強」許容する文字の中で4種類全てを使用し（半角英字は大・小文字を別の種類として扱う）、会員識別キー（ID除く）の文字列を含まない14byte以上16byte以内のものであれば許容",3
APIのcustom_moduleのサンプルプログラムが欲しい,APIのcustom_moduleの仕様およびサンプルプログラムは下記をご覧ください。ローレベルAPI custom_moduleサンプルプログラム　カスタムモジュール（PHP）,5
カスタムモジュール機能について、スパイラルAPIを使用してアップロードするにはどうすればいいですか？,APIのcustom_moduleの仕様およびサンプルプログラムは下記をご覧ください。ローレベルAPI custom_moduleサンプルプログラム　カスタムモジュール（PHP）,5
カスタムモジュールで１つのフォルダに複数のモジュールをアップする方法が知りたい,既に、ソースフォルタ:test、名前：moduleのカスタムモジュールを作成していた場合（１）開発＞カスタムモジュールにて、新規作成ボタンをクリックし、ソースフォルダで「test」を入力（２）名前に「module2」と入力（３）作成ボタンをクリックカスタムモジュール一覧にて、「test」が表示されておりますので、クリックすると「module」と「module2」が表示されます。,5
スパイラルAPIのbulk_insertを実行した場合のAPI内部での処理時間を教えて欲しい。,"スパイラルAPIのdabatase/bulk_insertは1回につき最大1,000行処理できます。例えば、1行にメールアドレス、テキストフィールド32バイト、テキストフィールド32バイトが記載されたデータ1,000行をdatabase/bulk_insertで一括登録した場合、API内部での処理時間は約1秒です。 スパイラルの操作画面やフォームから実行した場合も、外部サーバから実行した場合も、API内部の処理時間は同じです。",5
スパイラルで作成したエンドユーザーが見る画面に出てくるドメインをすべて教えてください。,URLの中にシステム番号が含まれており、システム番号はお客様ごとに異なります。システム番号はログイン画面のURLから確認いただけます。https://ctr**.smp.ne.jp/login.html 上記URLの「**」の部分が異なります。（例）該当するURLは以下の通りです。「**」の部分を制限をしたいシステム番号の下ニケタに差し替えて設定して下さい。【スパイラルのドメイン一覧】フォーム管理：https://reg**.smp.ne.jp/マイエリア：https://area**.smp.ne.jp/一覧表：https://area**.smp.ne.jp/クリックカウント： http://r**.smp.ne.jp/ステップアンケート： https://inq**.smp.ne.jp/,3
APIのリクエスト数制限を知りたい,"スパイラルAPIのリクエスト数上限値は、操作画面上「開発」＞「スパイラルAPI」のトップ画面にて確認することができます。標準設定の場合、1分あたりのリクエスト数は「10」です。「変更」ボタンをクリックするとリクエスト数上限値をその場で変更することができます。※ 10回/分を超えるAPIリクエストのご利用はオプションサービスとなり、API月次利用料が発生します。※ 3,000回/分を超えるAPIリクエストをご要望の方はユーザーズデスクまで別途ご相談ください。「確認」ボタンをクリックすると最終確認画面に遷移します。※ 本画面にアクセスしている時点でSPIRALにご契約いただいているユーザーによる依頼として申し込みを受け付けます。※ APIリクエストの上限の利用料は、ご利用月の最大APIリクエスト上限数に基づき算出いたします。※ 本画面で変更いただいた内容は後からキャンセルすることはできません。注意事項に同意いただき、「申込」ボタンをクリックすると変更が完了します。リクエスト上限数に対する料金については「スパイラルAPI」（オプションページ）をご確認ください。なお、1分あたりのリクエスト数が超過した場合、以下エラーメッセージが表示されます。エラー番号　：801エラーコード：Access frequency limit exceeded. scope is all api.関連リンクスパイラルAPIとはスパイラルAPI 機能詳細スパイラルAPIの仕様APIでロケーター取得のためのリクエストは、600回/分のリクエストにふくまれますか？最終更新日：2017/11/21",5
スパイラルPHPのdoInsertを使用してファイル型フィールドを登録することはできますか？,ファイル型フィールドについては、doInsertを使用することができません。 ファイル型の通信フォーマットはマルチパート形式ですが、doInsertの場合、必要なパラメーターを指定できません。 ファイル型フィールドへの登録方法は以下のAPIマニュアルをご参照ください。ファイル型フィールドを使用する場合の通信フォーマット (47ページ目),5
APIでロケーター取得のためのリクエストは、600回/分のリクエストにふくまれますか？,ロケータ取得のためのリクエストは含まれません。,5
一覧表で、マイエリアにログインした会員識別キーでフィルタリングせずに任意のレコードも一覧表示できるようにしたい,一覧表の「設定」ボタン＞「セキュリティ」タブ＞「アクセス権限」にて、ログインフィルタの設定が可能です。詳しくは以下ページをご覧ください。任意で設定したフィルタルールに合致したレコードのみ表示する一覧フィルタを行わない一覧（全件表示）関連リンクマイエリアのログインフィルタの利用方法が知りたいログインしているレコードのデータのみ表示する一覧一覧表で設定するマイエリアログインフィルタの仕様が知りたい最終更新日：2018/2/21,3
［iPhoneアプリ］シャリーンの設定方法が知りたい,設定方法について、マニュアルをご参照ください。 ※スパイラルバージョン1.11.5にて、データベース上に格納されているQRコードに紐づく情報を表示する「レコードの存在確認」機能を追加いたしました。,7
締め切り件数通知メールを受け取りたい,締め切り件数通知メールを設定すると、以下のようなメールが届き、想定外の登録があり締め切り件数に近づいても、すぐに件数追加などの対応が出来ます。締め切り件数通知メールの設定方法には、大きく分けて2つの手順があります。設定方法は以下の通りです。【締め切り設定】1.Web＞フォームから該当フォームの「締め切り」をクリック。2.「締め切り設定」内、(1)、(2)のいずれか、または両方にチェックを入れ、件数を指定します。　　※(1)のチェックは外すことはできません。3.画面下部の［変更］ボタンをクリック。4.[変更内容をフォームに反映]をクリック。【締め切り件数通知メール設定】1.Web＞フォームから該当フォームの「登録通知メール」をクリック。2.「締め切り件数通知メール」の「通知する」にチェックを入れ、通知件数、メールアドレスを入力し、[変更]をクリック。　※半角スペースで区切ると複数アドレスを設定する事が可能です。3.[変更内容をフォームに反映]をクリック。通知メール受信設定で「登録フォーム締切通知メール」の受信設定を「受け取る」に設定しておくと、アカウントの管理者や担当者のメールアドレスでも締め切り通知メールを受け取ることが出来ます。通知メール受信設定の詳しい設定方法はこちらからご確認ください。締め切り通知メールは、フォームからの登録で締め切り件数に近づいた場合にのみ配信されます。フォーム以外（DBオペレーション、外部接続など）からの登録については、締め切り通知メールが配信されませんのでご注意ください。,3
URL有効期間設定とはどのような機能ですか,URL有効期間設定は、配信文面内の差替えキーワードに期限を設定する事のできる機能です。設定できるURLは以下の通りです。・クリックログインURL・ステップアンケートURL・オプトアウトURL・クリックカウントURL有効期間を過ぎた後にURLをクリックするとURLの有効期間が過ぎたことをご案内する画面が表示されます。この機能を使うと、例えばメールマガジンの内容をブログに載せようとして文中にあった情報変更ページのURLも一緒に貼り付けてしまった時などに、個人情報が流出するのを最小限にとどめる事が出来ます。図のように、ブログに情報変更ページのURLが公開されると、そのブログを見たWebユーザーなら、誰でもログインして情報を見たり、変更できる状況を作ってしまいます。一旦公開された情報については、URLを載せてしまったブログからの削除、また、ネット検索サイトに削除依頼を行うなどの対応が必要となりますが、URL有効期間を設定していれば、少なくとも期間が過ぎればそれ以上の被害を防ぐ事が出来ます。,4
データ登録時の「登録」と「定型登録」の違いは何ですか,データを一括登録するには、手元のデータをDBのどのフィールドに対して登録（更新）するかを紐付ける必要があります。データを紐付ける方法は、「登録」と「定型登録」の二通りです。それぞれに特徴がありますので、最適な方法で登録して下さい。登録（ヘッダー無データの登録）?データを先にアップロードしてから、データとフィールドの紐付けを操作画面にて行います。?こんな場合に最適！1. 手元のエクセルデータをそのまま活用したいエクセルデータをコピー&ペーストする貼付アップロードで簡単にデータ登録ができます。?2. スパイラルからDLしたデータを編集してそのまま一括更新したいDL→編集→アップロードとスムーズな作業が可能となります。定型登録（ヘッダー有データの登録）?ヘッダーをスパイラルからDLして、予めフィールドと紐づいた状態のデータを用意してからアップロードします。こんな場合に最適！1. 毎回同じ形式のデータを登録したい一度DLしたヘッダーを毎回使用してデータを用意すれば、フィールドの紐付け作業が必要なくなります。?2. フィールド数が多く、紐付け作業で間違えるのが不安フィールドと紐づいたデータを先に用意するので、充分に確認した上で、安心してデータ登録ができます。,2
データ登録用ヘッダーはどこでダウンロードできますか,データ登録用ヘッダーは、「登録タイプ選択」画面の「ヘッダーダウンロード」からダウンロードできます。?「DB」＞「データ一括登録 / 更新」＞［登録手続きを開始］ボタンをクリック「登録タイプ選択」の「ヘッダーダウンロード」で、「DB」と「タイプ」を指定し、ダウンロードします。,2
携帯端末はDKIMに対応していますか,現在、携帯各キャリアはDKIM認証を行っておりません。しかしながら、そのためにメールが受信できない等の問題はございません。,4
緊急時に従業員の安否確認をしたい,パイプドビッツでは、【緊急連絡確認サービス】をパッケージとして提供しております。緊急連絡確認サービスは、1.社員や職員、生徒および保護者などに同報メールを送信する「一斉メール配信機能」2.受け取ったメール中のURLをクリックすることでWebフォームから安否情報の連絡などを行える「安否確認・出欠確認機能」3.メール受信者からWebフォーム経由で送られてきた情報を集計して一覧表示する「安否確認情報の一覧表機能」などを備えております。なお、平時より連絡網としてお使いいただくことで、非常時でも落ち着いた運用を行っていただくことが可能です。利用例）　「イベント中止連絡」「交通規制対応連絡」「社員/生徒参集連絡」※本サービスは携帯向け夜間配信の行える専用のシステムで利用可能です本サービスの詳しい内容に関しましては、ユーザーズデスクまたは弊社営業担当までお気軽にお問い合わせください。【緊急連絡確認サービス利用マニュアル】緊急連絡確認サービスをされている方向けの利用マニュアルです。緊急連絡確認サービス利用マニュアル閲覧画面の使い方※本マニュアルは　SPIRAL(R)　ver. 1.10.29　の環境で作成しております,1
iPhoneで位置情報送信の同意画面が表示されない場合があるのですが、なぜですか？,スマートフォン向けの一部アプリにおいて、同意画面が表示されない場合があります。その場合は別のアプリでお試しください。現在、弊社で確認している対象のアプリは、「アドレス交換 Lite」「携帯便利セット Lite」です。当アプリでQRコードを読み取り、ブラウザを起動した場合、Java Scriptに対応していないため同意画面が表示されません。（なお、アプリの設定で「Safariで開く」を選択していただければ、同意画面が表示されます。）,7
APIのトークンタイトルには何を設定すればよいですか,APIトークンを発行する際の「キーワード」は、は任意の文字列を指定いただいてかまいません。また、一度削除しても、同じキーワードを入力すれば同じトークンが発行できます。,5
一覧表・単票に表示されるデータ数が、DBに登録されている数より少ないのですが、なぜですか？,一覧表に表示されるデータ数がDBに登録されている数より少ない要因としては、以下が考えられます。マイエリアのログインフィルタ設定を設定している一覧表の「アクセス権限」設定にてマイエリアを設定している場合、マイエリアを発行しているDBと一覧表を表示しているDBの組み合わせにより、表示件数が異なる場合があります。マイエリアを発行しているDBと一覧表を表示しているDBが同一の場合　　マイエリアで認証した１レコードのみを表示します。マイエリアを発行しているDBと一覧表を表示しているDBが異なり、そのDB間で連携を設定している場合　　表示するDBの中から、マイエリアで認証した１レコードに関連するレコードのみをフィルタして表示します。マイエリアを発行しているDBと一覧表を表示しているDBが異なり、そのDB間で連携を設定していない場合　　一覧表を表示するDBのレコード全てを表示します。また、DBの組み合わせに関係なく、「任意のルールでフィルタ」の設定をしている場合、ルールに合致したレコードのみが表示されます。仮想DB（フィルタ型）に一覧表を設定している仮想DB（フィルタ型）に設定した一覧表の場合、フィルタ後のデータのみが表示されるため、フィルタ元の通常DBの件数と異なる場合があります。一覧表に抽出ルールを設定している一覧表の「検索フォーム」にて「DBの抽出ルール設定」をしている場合、抽出ルールに合致したデータのみが表示されるため、表示件数が異なる場合があります。関連リンク一覧表で設定するマイエリアログインフィルタの仕様が知りたい,3
一斉配信メールの差出人を、宛先によって変更したい,「差出人の差替え設定」を使用すると、一斉配信でありながら私信的なメールを配信することができるため、購読率のアップなどの効果が期待できます。EXPRESS2やEXPRESS配信、シークエンス配信、サンクス配信、タイムリー配信で本機能をご利用いただくことができます。設定方法差替えを行う対象のDBに「差出人名」と「差出人メールアドレス」のフィールドを追加して、宛先ごとの差出人名や差出人メールアドレスを登録します。「EXPRESS2」や「封筒制作：既存文書指定」、「封筒制作：直接入力」の設定画面で「差出人の差替え設定を使用」にチェックを入れます。対象「DB」を選択し、「差出人名」、「差出人メールアドレス」のフィールドを選択します。同様の手順で、返信先メールアドレスも差替えることができます。注意点「差出人メールアドレス」の差替えに使用するメールアドレスのドメインは、あらかじめ「送信ドメイン管理」に登録しておく必要があります。下記の場合、差出人設定の差替え設定が行われません。代わりにEXPRESS2や封筒制作の設定画面で入力した「差出人メールアドレス」を使って配信が行われます。「送信ドメイン管理」に登録がない対象DBの「差出人メールアドレス」フィールドにデータがない,4
携帯端末向けに一覧表を作成したのですが、表示が崩れてしまいます。原因がわかりません。,一覧表・単票機能は携帯端末で機能いたしますが、一部端末で正しく表示できない場合があります。 一覧表のHTMLは差替えキーワードで表示するため、ユーザーがソースを直接編集することはできませんが、 以下の（１）、または（２）の方法をお試しいただくと表示できることがあります。（１）一覧表の差替えキーワードの末尾に「:nocol%」を追加し、さらに枠線の設定を解除する一覧表の[ソース]に含まれる一覧表の差替えキーワードの末尾に「:nocol%」を追加します。-----------------------------------------------------------例）「%sf:user:*****:nocol%」「%sf:user:*****:table:nocol%」-----------------------------------------------------------次に、一覧表と検索フォームの[設定]から枠線の設定を解除します。▼一覧表[設定]▼検索フォーム[設定]（２）タグの入れ子状態を解消するページ上で表示する一覧表には２つの 「table」 タグ（一覧表とページャーを構成するもの）が含まれています。 一覧表ページにも 「table」 タグが含まれているため、その中に一覧表の差替えキーワードを挿入すると、 「table」タグが入れ子状態になります。差替えキーワードの外側にある「table」タグを削除し、一覧表設定でページャーの差替えキーワードを削除します。上記の設定をすることにより、正しく表示できることがあります。【調整前】※表示が崩れている例　　　　　【調整後】※正しく表示されている例,3
複数のデータベースを集合させて情報を一括で検索したい。 仮想DB（集合型）の使い方が知りたい,・複数のデータベースを集合させて情報を一括で検索したい。・会員サイトの複数の種類の情報を、タイムラインとして一覧表示させたい。・お客様のセミナー参加状況を知りたい。そのような時には「仮想DB（集合型）」を利用して、 複数のデータベースに散らばった情報を見つけやすくすることができます。 詳細は「お客様のセミナー参加状況を知りたい〜仮想DB（集合型）の作り方〜 (PDF/1.4MB)」 をご参照ください。 ,2
仮想DB（集合型）の使い方が知りたい,・複数のデータベースを集合させて情報を一括で検索したい・会員サイトの複数の種類の情報を、タイムラインとして一覧表示させたい・お客様のセミナー参加状況を知りたいこのような場合、「仮想DB（集合型）」を利用すると便利です。「仮想DB（集合型）」を使うことで、複数のデータベースに散らばった情報を見つけやすくなります。詳細は下記資料をご参照ください。お客様のセミナー参加状況を知りたい〜仮想DB（集合型）の作り方〜 (PDF/1.4MB) をご参照ください。,2
SPIRAL アプリセンターの利用方法が知りたい,「SPIRAL アプリセンター」の設定に関するマニュアルを、下記よりダウンロードしていただけます。 スパイラルアプリセンターマニュアル（160KB）,1
Passbookの利用方法が知りたい,「［iPhoneアプリ］Passbook」の設定に関するマニュアルを、下記よりダウンロードしていただけます。 Passbook パス発行（270KB）,7
DBオペレーションで検索した結果一覧の項目の順番を変更したい,DBオペレーションはDBごとにテンプレートを設定することができます。 設定方法は以下の手順になります。 1.　大メニューDBをクリック2.　サブメニュー「DBオペレーション」をクリック3.　該当するDBの「テンプレート設定」ボタンをクリック4.　「新規作成」ボタンをクリック5.　メニューの「設定」ボタンをクリック6.　「検索結果一覧」タブをクリック7.　表示させたくない項目は「＜」で「表示しない」に移動させ「保存」ボタンをクリック8.　作成したテンプレート名称、背景色を変更し、並び順を「1（既定）」に変更9.　「並び順を保存」クリックで完了,2
高速アップロードで画面が真っ白になり、使用できません。,スパイラルの高速アップロードは、Javaのバージョン1.6でないと動きません。 ご利用の端末にバージョン1.6が入っていないか、おそらく1.6が入っているが有効になっていないものと思われます。 もし、1.7も1.6も入っている場合は、1.6を有効にしてください。 （１）現在のJavaの対応状況を確認コントロールパネル＞Java＞Javaタブの表示をクリック＞Javaのランタイムのバージョン一覧が出てきますので、ここで２パターンにわかれます a）プラットフォームの列に1.7も1.6も表示されている→有効の列にチェックが入っていないと思われるので、1.6の方にチェックを入れるb）1.7のみ表示されている→1.6を再度インストールする必要があります→http://www.filehippo.com/jp/download_jre_64/12539/の右上からダウンロード※64bitか32bitかどうかはお客様のPCのスペックによります。 （２）基本タブから「applet.jar」を削除コントロールパネル＞Java＞基本タブの表示をクリック＞Javaのキャッシュビュアーに「「applet.jar」」があったら消す※ない場合もありますので、その場合は本作業は不要です。（３）ブラウザのキャッシュを消す※再度以下のメッセージがでてきたら、必ず「いいえ」にする「古いバージョンのJAVAがリクエストされました。　このアプリケーションは古い1.6.*の使用を要求しております。　コンピュータ上の最新バージョンのjavaで実行して宜しいでしょか？」ブラウザでキャッシュを消去したら、必ずブラウザを全部閉じて、再度立ち上げてください。,2
アプリセンターのコピーライトの正しい書き方について,"下記のような記載を推奨します。 「Copyright(C)2013PIPEDBITSCo.,Ltd.All Rights Reserved.」　※年号は毎年変えて下さい。",1
シャリーンでDBに一括送信する件数に制限はありますか？,シャリーンでDBにデータを登録する際には、スパイラルAPIを利用します。そのため、一括送信する件数はAPIリクエスト数に依存します。例）APIリクエスト回数「10回まで/分」でご利用の場合、最大10件まで一括送信可能。関連ページスパイラルAPIのリクエスト数を変更したいスパイラルAPI （オプション価格表）シャリーン最終更新日：2018/4/23,7
ルックアップトリガ機能は常時参照しているのでしょうか？,ルックアップトリガ機能は常時参照しておりません。トリガDBに対して登録や更新が発生した際に実行されるトリガになりますので、参照DBのレコードの値を変更した場合はトリガ発動条件ではないため、トリガDBの値は変更されません。,2
ルックアップトリガ・演算トリガ機能は、トリガ時に発動する処理はINSERT/UPDATE前ですか？後ですか？,トリガの発動時の処理は、「BEFORE　INSERT/UPDATE」です。また、TRDBの処理は、「AFTER　INSERT/UPDATE」です。従って、トリガで処理されたものがそのままトランザクションDBにインサートされます。,2
一覧表ダウンロード機能について、ラベル値かIDどちらか選択できますか？,いいえ。できません。一覧表に表示されたデータがそのままダウンロードされます。そのため、セレクトやマルチセレクトは、一覧表上で表示形式を選べないため、ラベル値の一択になります。,3
「みんなのイベントカレンダー」のサイズを大きくすることはできますか。,縦幅を変更することは出来ませんが、横幅を広げることは出来ます。横幅の変更手順は以下の通りです。1.[ガジェット]をクリック。2. 左側のメニューから「みんなのイベントカレンダー」をクリック。3.「あなたが作成したガジェット一覧」から、サイズ変更を行う。カレンダー名をクリック。4. [タグ生成画面へ]ボタンをクリックし、タグ生成画面を開く。5.【サイズの指定】内の「カレンダーの横幅」にて、横幅のサイズを変更。6. [タグ生成]ボタンをクリックし、「タグ表示ボックス」に表示された、　　タグをコピーする。7.ガジェットを貼り付けたいWeb ページのソースを開き、コピーしたタグを　　任意の箇所に貼り付ける。,3
同一レコード内で単票を行ききできる機能について、それぞれの単票を一覧表でリンク設定しないといけないのですか？,すべての単票をリンク設定する必要はありません。単票A、B、Cを用意していた場合、単票Aは一覧表からリンクするように設定し、単票A内に単票B、Cへリンクするよう差替えキーワードを挿入するという設定で対応可能です。,3
単票URLの取得APIでレスポンスのurlsのソート順は、idsでリクエストした順番になりますか？,はい。スパイラルAPIのメソッド「card」のレスポンスurlsのソート順は、idsと同じ順番になります。,5
2つのDBを連携させ、1つのDBを作成したい,「DB連携」を使用することにより、スパイラル内で発行したDB間のデータを紐付け、連携させることができます。?また、「仮想DB（連携型）」を使用して、 連携したDB内に格納されているデータのうち、 必要な項目だけを抽出して、1つのDBを作成することができます。「仮想DB（連携型）」からは、マイエリアの発行、メールの配信が行えます。?詳細については、下記のページでご確認いただけます。［サポートサイト］＞［機能・仕様］「DB連携とは」「仮想DB（連携型）とは」,2
名刺登録をおこなうために、まず何をすればいいですか？,「名刺登録」をご利用いただくには、最初に名刺データを取り込むパソコンに専用のアプリケーションをインストールしておく必要があります。下記手順に従ってインストールしてください。■インストール手順１．スパイラル操作画面より新しいアプリを新規作成２．以下リンクよりアプリケーションをダウンロード　　　名刺登録用アプリケーション (ZIPファイル　1.71MB)３．「setup.exe」のファイルをダブルクリックして、画面に従ってインストール４．サービス利用者の登録（プロキシサーバの設定は不要です）５．作成されたショートカットよりアプリを起動,7
スパイラルAPIの設定方法がわからない,「スパイラルAPI」の設定に関するマニュアルは、以下のページをご覧ください。?スパイラルAPI,5
名刺登録の納品データの仕様が知りたい,デジタル化される納品データ項目、デジタル化ルール、中国語名刺の対応、SLAの対象と免責事項等が記載された下記資料をご確認ください。【名刺登録】名刺情報の納品データ仕様について（サイズ：256KB）,7
名刺登録の設定、作業手順を知りたい,名刺登録の設定方法については下記ページでご案内しております。?機能「名刺登録」?関連FAQ名刺登録アプリを設定すると自動生成されるトランザクションDBのフィールドが知りたい名刺登録の納品データの仕様が知りたい?,7
スパイラルのPHP対応で、使用できない関数についての資料はありますか？,当ページは新バージョンの記載が含まれます。PHP7.2は、スパイラルver1.12.5から提供開始されます。スパイラルPHPでは、セキュリティ面に考慮しファイルシステムに影響を与える可能性のある関数・クラス等は使用できないようになっています。各PHPバージョンにおいて使用できない関数およびクラスの一覧については以下をご参照ください。スパイラルで使用できない関数とクラスの一覧（PHPバージョン：5.3）スパイラルで使用できない関数とクラスの一覧（PHPバージョン：5.6）スパイラルで使用できない関数とクラスの一覧（PHPバージョン：7.1）スパイラルで使用できない関数とクラスの一覧（PHPバージョン：7.2）関連リンクスパイラルPHPバージョンについてスパイラルPHP利用時の注意事項最終更新日：2018/7/12,5
スパイラルAPIで扱えるDBの種類を教えてください。,スパイラルAPIで扱えるDBの種類は以下になります。DBタイプSELECTINSERTUPDATEDELETE通常DB○○○○履歴DB○○○○ストップDB○○○○仮想DB（フィルタ型）○○○○仮想DB（連携型）○○○○仮想DB（集合型）○×××トランザクションDB○○××画像マスタDB○×××ステップアンケートDB○○○○ガジェットDB○○○○掲示板トピックDB○○○○掲示板コメントDB○○○○※ご留意点 ステップアンケートDB、ガジェットDB、掲示板トピックDB、掲示板コメントDBについては、 API経由で更新系（INSERT・UPDATE・DELETE）操作可能ですが、本来の使用目的と異なることになるため、更新系の操作はお控えください。最終更新日：2018/2/21,5
